user_name,user_mail,password,location,availability,skills_have,skills_want
Paula,taylorjessica@wiley.com,L13_PoJ(&Q,Cindyberg,"Thursday, Tuesday","Python, Java","Java, UI Design"
Lonnie,christopher97@hotmail.com,3UMqjklj_#,New Kimberlyburgh,"Wednesday, Thursday, Sunday","Guitar, Java, Figma","React, ML"
Victoria,pamela54@gmail.com,hi)3lFfX$+,Millershire,"Wednesday, Saturday, Sunday, Monday","UI Design, ML, React",UI Design
Troy,xmarshall@gmail.com,B_4R^Na#$r,Davidfort,"Wednesday, Saturday","ML, Guitar","Figma, Node.js"
Samantha,david36@yahoo.com,@F%72VwwjR,New Clairemouth,Sunday,Excel,Figma
Daniel,vegajoseph@hotmail.com,gw5K$aZSL*,West Christopherberg,Monday,"React, Python",UI Design
Kimberly,zmatthews@yahoo.com,wk@TGrVK&3,New Kenneth,"Monday, Friday, Sunday, Thursday",ML,Python
Justin,jennifer37@ruiz-smith.org,*8CF+epKyj,Lake Claireberg,"Tuesday, Saturday, Monday, Friday",Python,Figma
Shawn,davislarry@gmail.com,H%14xKb&l4,New William,"Wednesday, Sunday, Tuesday, Monday",React,"Guitar, Figma"
Andrew,meyerkimberly@myers.com,U_1vLjoXbs,New Randyhaven,"Tuesday, Thursday, Saturday","Excel, React",Java
Jason,jware@gmail.com,)8wVLtHm%l,East Rebecca,"Friday, Monday","Figma, UI Design, Python",Guitar
Heather,karenchen@hotmail.com,A6dX!JlF)F,Sarabury,"Sunday, Monday","Node.js, ML, Java",UI Design
Amy,pbrock@williams-mann.com,0ObE4tCt!O,Port Josefort,"Tuesday, Saturday","Python, C++, Excel","Figma, Python"
Ashley,debra63@gmail.com,jF9Tk$tVj),Baldwinside,Saturday,Excel,Figma
Jennifer,monicaweaver@hotmail.com,^4oKeFc7gD,New Jameston,"Friday, Thursday","Excel, Node.js",React
Kyle,meyersdanielle@cervantes-wilson.org,H)C$5Kqj!G,Carterberg,"Sunday, Monday, Tuesday, Thursday",React,Figma
Alicia,tammie81@oconnor.biz,xP3SJty4%B,West Keithbury,"Sunday, Saturday","C++, ML","Java, ML"
Michelle,anne98@gmail.com,$L2TPgyw82,East Dennisview,"Tuesday, Saturday",UI Design,UI Design
Julie,marymendez@williams.com,_KM9umRjp7,Jesusport,"Saturday, Thursday, Monday","Python, ML",UI Design
